"Player","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","TOVp","STLp","BLKp","ASD"
"Gerald Wallace",0.565217391304348,0.384615384615385,0.310344827586207,0,0,0.75,0.8,0,1,0.368421052631579,0.76,1,0.4,0,0.571428571428571,0,0.456896551724138,0.157771260997067,0.0903225806451613,0.0674486803519062,0.0516129032258065,0.0105571847507331,1.87287
"Giannis Antetokounmpo",0.583795782463929,0.357692307692308,0.295774647887324,0.8625,0.972972972972973,0.771495877502945,0.91304347826087,0.343137254901961,0.370629370629371,0.31353919239905,0.640043763676149,0.494186046511628,0.85785536159601,0.471698113207547,0.5,0.636363636363636,0.745816372682044,0.228851083663482,0.116289909112095,0.0745746912141692,0.0362774799968927,0.0400838965276159,2.72297
"Glen Davis",0.685714285714286,0.23943661971831,0,0,0,0.894736842105263,1,0.714285714285714,0.36,0.383928571428571,0.766355140186916,0,1,0,0.5,0.333333333333333,0.661016949152542,0.195723684210526,0.0378289473684211,0.0460526315789474,0.0435855263157895,0.0230263157894737,2.99304
"Glenn Robinson III",0.671641791044776,0.426229508196721,0.4140625,1,1,0.740740740740741,0.833333333333333,0.666666666666667,0,0.436170212765957,0.622222222222222,0.525,0.651162790697674,0.222222222222222,0,0,0.71830985915493,0.152975691533948,0.0389773679798826,0.0264040234702431,0.0310142497904443,0.0125733445096396,4.41369
"Goran Dragic",0.598965071151358,0.426532325776658,0.381558028616852,1,0,0.735261401557286,0.888888888888889,0.373493975903614,0.451612903225806,0.383013474887709,0.687675070028011,0.513888888888889,0.822314049586777,0.490683229813665,0.571428571428571,0.62,0.776444111027757,0.111028592647605,0.165893056071296,0.0775157816561456,0.0329558113627924,0.006498329001114,4.80394
"Gordon Hayward",0.554559043348281,0.4359375,0.364952932657495,0.73469387755102,1,0.744360902255639,0.986486486486487,0.511111111111111,0.666666666666667,0.367302052785924,0.595687331536388,0.615853658536585,0.777777777777778,0.552447552447552,0.285714285714286,0.5,0.823899371069182,0.143688244528581,0.116446578631453,0.0701819189214147,0.0356450272416659,0.0108043217286915,5.97688
"Gorgui Dieng",0.591182364729459,0.477722772277228,0.380530973451327,0.866666666666667,1,0.708860759493671,0.963768115942029,0.457142857142857,0.528735632183908,0.452732003469211,0.768539325842697,0.777777777777778,0.797101449275362,0.441176470588235,0.439024390243902,0.68,0.784543325526932,0.271111111111111,0.0603794037940379,0.0526829268292683,0.0355555555555556,0.0440108401084011,2.33411
"Greg Monroe",0.547321428571429,0.38265306122449,0,0.714285714285714,0.909090909090909,0.730666666666667,0.907692307692308,0.571428571428571,0.5,0.389548693586698,0.715625,0.666666666666667,0.833333333333333,0.6,0.5,0.638036809815951,0.722517058377559,0.301880811496196,0.0778740490278952,0.0667793744716822,0.0381445477599324,0.0214497041420118,1.24424
"Greg Stiemsma",0.714285714285714,0.277777777777778,0,0,0,0.5,0.823529411764706,0.5,0.5,0.435897435897436,0.822222222222222,0,0,0,0.636363636363636,0,0.583333333333333,0.224603914259087,0.0363466915191053,0.0475302889095993,0.0344827586206897,0.0531220876048462,0.56226
"Greivis Vasquez",0.456953642384106,0.490566037735849,0.383480825958702,0,0,0.591836734693878,0,0,1,0.387033398821218,0.5,0.56,0.568627450980392,0.333333333333333,0,0.5,0.818897637795276,0.101150202976996,0.166779431664411,0.0632611637347767,0.0213125845737483,0.0040595399188092,6.91519
"Harrison Barnes",0.596678529062871,0.408205841446453,0.365582191780822,0.666666666666667,1,0.681818181818182,0.957983193277311,0.496774193548387,0.472222222222222,0.338656646312823,0.678571428571429,0.542961608775137,0.701388888888889,0.429245283018868,0.333333333333333,0.477911646586345,0.794145420207743,0.162447960033306,0.0513738551207327,0.035970024979184,0.0233971690258118,0.00649458784346378,5.53331
"Hassan Whiteside",0.551839464882943,0.423558897243108,1,0.855263157894737,1,0.66497461928934,0.97841726618705,0.333333333333333,0.556122448979592,0.478552278820375,0.763713080168776,0.75,0.896551724137931,0.444444444444444,0.69047619047619,0.44758064516129,0.629268292682927,0.427291812456263,0.0204338698390483,0.0617214835549335,0.0230930720783765,0.0905528341497551,1.25131
"Hedo Turkoglu",0.4,0.413793103448276,0.404255319148936,0,0,1,1,0.625,0,0.382352941176471,0.5,1,0,0.625,0.5,0.333333333333333,0.517241379310345,0.171064604185623,0.0636942675159236,0.0409463148316652,0.0345768880800728,0.0154686078252957,6.8029
"Henry Sims",0.645569620253165,0.428571428571429,0.222222222222222,1,0,0.916666666666667,1,0,0.4375,0.399328859060403,0.758620689655172,0.6,0.75,1,0.230769230769231,0.8,0.767955801104972,0.265539803707743,0.0507088331515812,0.0648854961832061,0.0288985823336968,0.0278080697928026,2.30808
