"Player","P2p","P3p","FTp","FTA","P2A","P3A","BLKp","TOVp","ASTp","REBp","PTSp","STLp"
"Luke Babbitt",0.543859649122807,0.441441441441441,0.772727272727273,22,57,111,0.0087719298245614,0.0263157894736842,0.0456140350877193,0.142105263157895,0.396491228070175,0.012280701754386
"Tyler Cavanaugh",0.555555555555556,0.359550561797753,0.80952380952381,21,63,89,0.00772200772200772,0.027027027027027,0.0521235521235521,0.245173745173745,0.353281853281853,0.0173745173745174
"Jayson Tatum",0.492411467116358,0.433884297520661,0.825581395348837,258,593,242,0.0237413016782644,0.0466639377814163,0.0523945968072043,0.164551780597626,0.455178059762587,0.0339746213671715
"Al Horford",0.514231499051233,0.429203539823009,0.783333333333333,120,527,226,0.0342555994729908,0.0579710144927536,0.148880105401845,0.23276240667545,0.407114624505929,0.0188844971453667
"Jaylen Brown",0.507042253521127,0.395424836601307,0.643776824034335,233,497,306,0.0120817843866171,0.0576208178438662,0.0529739776951673,0.160780669144981,0.472583643122677,0.0325278810408922
"Terry Rozier",0.409547738693467,0.380597014925373,0.771812080536913,149,398,402,0.00918762088974855,0.0386847195357834,0.112185686653772,0.181818181818182,0.435203094777563,0.0386847195357834
"Kyrie Irving",0.541176470588235,0.407862407862408,0.888888888888889,261,680,407,0.00880372863801139,0.0725012946659762,0.158467115484205,0.117555670636976,0.759192128430865,0.0336613153806318
"Marcus Smart",0.428571428571429,0.301204819277108,0.729323308270677,133,266,249,0.0142503097893432,0.0799256505576208,0.160470879801735,0.117100371747212,0.340768277571252,0.0439900867410161
"Aron Baynes",0.487058823529412,0.142857142857143,0.756410256410256,78,425,21,0.034366576819407,0.0539083557951483,0.0626684636118598,0.292452830188679,0.324797843665768,0.0148247978436658
"Marcus Morris",0.46684350132626,0.367521367521368,0.805194805194805,154,377,234,0.00832177531206657,0.0450762829403606,0.0499306518723994,0.200416088765603,0.509015256588072,0.0242718446601942
"Semi Ojeleye",0.396825396825397,0.32,0.609756097560976,41,63,125,0.00347826086956522,0.0217391304347826,0.0173913043478261,0.14,0.169565217391304,0.0182608695652174
"Daniel Theis",0.617142857142857,0.310344827586207,0.753086419753086,81,175,58,0.0512820512820513,0.0598290598290598,0.0598290598290598,0.292735042735043,0.353632478632479,0.032051282051282
"Shane Larkin",0.398496240601504,0.36046511627907,0.864864864864865,37,133,86,0.00258064516129032,0.0425806451612903,0.126451612903226,0.118709677419355,0.298064516129032,0.0374193548387097
"Abdel Nader",0.321428571428571,0.353846153846154,0.58974358974359,39,84,65,0.0191570881226054,0.0651340996168582,0.0498084291187739,0.136015325670498,0.279693486590038,0.028735632183908
"Spencer Dinwiddie",0.451851851851852,0.325635103926097,0.813432835820896,268,405,433,0.00997398091934085,0.0555073720728534,0.227233304423244,0.112315698178664,0.436686903729402,0.0294882914137034
"Allen Crabbe",0.461016949152542,0.37781954887218,0.851851851851852,135,295,532,0.0159308147473828,0.0355029585798817,0.0532544378698225,0.147473827947201,0.450614474283113,0.0213928083750569
"DeMarre Carroll",0.456852791878173,0.370843989769821,0.764227642276423,246,394,391,0.0137614678899083,0.0472477064220184,0.0674311926605505,0.219724770642202,0.450917431192661,0.0270642201834862
"Joe Harris",0.5893536121673,0.418994413407821,0.826923076923077,104,263,358,0.0101317122593718,0.0460992907801418,0.0648429584599797,0.131712259371834,0.428571428571429,0.0177304964539007
"Rondae HollisJefferson",0.491044776119403,0.240740740740741,0.787974683544304,316,670,54,0.025,0.0630208333333333,0.0869791666666667,0.2390625,0.492708333333333,0.0338541666666667
"Caris LeVert",0.479591836734694,0.346938775510204,0.711229946524064,187,490,245,0.0118025751072961,0.0820815450643777,0.160407725321888,0.139484978540773,0.460300429184549,0.0439914163090129
"Jarrett Allen",0.599476439790576,0.333333333333333,0.775510204081633,147,382,15,0.0610687022900763,0.0569049271339348,0.0340041637751561,0.269257460097155,0.40735600277585,0.0194309507286607
"Quincy Acy",0.383561643835616,0.349315068493151,0.816666666666667,60,73,292,0.0213392200147167,0.0441501103752759,0.0419426048565121,0.189109639440765,0.30242825607064,0.0242825607064018
"DAngelo Russell",0.477157360406091,0.323741007194245,0.740458015267176,131,394,278,0.0137763371150729,0.119124797406807,0.201782820097245,0.153160453808752,0.602106969205835,0.0291734197730956
"Tyler Zeller",0.566502463054187,0.384615384615385,0.666666666666667,60,203,26,0.0298719772403983,0.0497866287339972,0.0398293029871977,0.275960170697013,0.42674253200569,0.0113798008534851
"Kemba Walker",0.468503937007874,0.384359400998336,0.864285714285714,420,762,601,0.0087719298245614,0.0654239766081871,0.162280701754386,0.0906432748538012,0.646929824561403,0.0332602339181287
"Dwight Howard",0.558628318584071,0.142857142857143,0.573883161512027,582,904,7,0.0531871701177426,0.0844498578968737,0.0426309378806334,0.410881039382866,0.546894031668697,0.0194884287454324
